"Missing Age","State"
"35 Years","PA"
"17 Years","SC"
"16 Years","TN"
"16 Years","KY"
"30 Years","NY"
"16 Years","NY"
"49 Years","NC"
"39 Years","OH"
"27 Years","VA"
"36 Years","AL"
"23 Years","GA"
"67 Years","PA"
"33 Years","NY"
"14 Years","PA"
"25 Years","TN"
"41 Years","VA"
"17 Years","TN"
"16 Years","TN"
"61 Years","NC"
"16 Years","OH"
"32 Years","TN"
"17 Years","TN"
"58 Years","TN"
"36 Years","KY"
"16 Years","NC"
"17 Years","TN"
"37 Years","KY"
"28 Years","VA"
"28 Years","NY"
"17 Years","TN"
"16 Years","VA"
"29 Years","TN"
"20 Years","TN"
"34 Years","TN"
"44 Years","TN"
"39 Years","NC"
"44 Years","PA"
"18 Years","GA"
"34 Years","PA"
"77 Years","SC"
"17 Years","TN"
"14 Years","TN"
"73 Years","TN"
"49 Years","NY"
"20 Years","GA"
"16 Years","KY"
"15 Years","KY"
"35 Years","KY"
"15 Years","NY"
"17 Years","VA"
"20 Years","MS"
"31 Years","AL"
"16 Years","NY"
"46 Years","KY"
"31 Years","TN"
"17 Years","NC"
"17 Years","TN"
"28 Years","MD"
"17 Years","TN"
"48 Years","NC"
"16 Years","OH"
"16 Years","TN"
"16 Years","NY"
"17 Years","PA"
"21 Years","GA"
"27 Years","KY"
"37 Years","NC"
"16 Years","PA"
"76 Years","MS"
"15 Years","TN"
"39 Years","SC"
"51 Years","TN"
"63 Years","SC"
"29 Years","MS"
"50 Years","KY"
"16 Years","TN"
"56 Years","VA"
"16 Years","TN"
"62 Years","GA"
"32 Years","WV"
"30 Years","TN"
"51 Years","MS"
"15 Years","TN"
"14 Years","AL"
"16 Years","TN"
"33 Years","KY"
"28 Years","KY"
"16 Years","TN"
"15 Years","TN"
"43 Years","PA"
"17 Years","GA"
"37 Years","GA"
"16 Years","NC"
"52 Years","VA"
"29 Years","MD"
"27 Years","MS"
"36 Years","KY"
"17 Years","KY"
"30 Years","MD"
"64 Years","NC"
"38 Years","VA"
"17 Years","KY"
"49 Years","NC"
"17 Years","OH"
"67 Years","NC"
"17 Years","TN"
"16 Years","TN"
"40 Years","GA"
"37 Years","TN"
"14 Years","NY"
"31 Years","AL"
"14 Years","TN"
"40 Years","TN"
"17 Years","TN"
"15 Years","NY"
"44 Years","TN"
"15 Years","VA"
"30 Years","OH"
"14 Years","KY"
"52 Years","NY"
"25 Years","GA"
"44 Years","MD"
"4 Years","NY"
"16 Years","TN"
"17 Years","NC"
"15 Years","TN"
"38 Years","KY"
"21 Years","NC"
"54 Years","NY"
"16 Years","MD"
"16 Years","TN"
"37 Years","NC"
"30 Years","MS"
"38 Years","GA"
"32 Years","NC"
"33 Years","PA"
"50 Years","TN"
"14 Years","TN"
"53 Years","GA"
"15 Years","TN"
"32 Years","MD"
"48 Years","OH"
"13 Years","TN"
"62 Years","PA"
"17 Years","VA"
"26 Years","GA"
"52 Years","KY"
"72 Years","TN"
"34 Years","NY"
"29 Years","KY"
"30 Years","TN"
"78 Years","GA"
"17 Years","TN"
"59 Years","AL"
"20 Years","NY"
"33 Years","TN"
"43 Years","TN"
"17 Years","VA"
"22 Years","OH"
"19 Years","TN"
"55 Years","GA"
"71 Years","GA"
"16 Years","TN"
"25 Years","WV"
"39 Years","NC"
"69 Years","NY"
"60 Years","NY"
"43 Years","VA"
"16 Years","KY"
"15 Years","NC"
"23 Years","KY"
"40 Years","TN"
"35 Years","NC"
"56 Years","VA"
"62 Years","NC"
"16 Years","KY"
"49 Years","MD"
"34 Years","WV"
"17 Years","TN"
"31 Years","GA"
"25 Years","NC"
"38 Years","AL"
"17 Years","NY"
"32 Years","TN"
"15 Years","TN"
"47 Years","TN"
"65 Years","NY"
"19 Years","NY"
"37 Years","SC"
"43 Years","TN"
"45 Years","SC"
"17 Years","TN"
"15 Years","TN"
"34 Years","TN"
"41 Years","AL"
"26 Years","NY"
"15 Years","NC"
"34 Years","NC"
"25 Years","WV"
"13 Years","KY"
"29 Years","SC"
"32 Years","AL"
"52 Years","WV"
"13 Years","NY"
"51 Years","OH"
"15 Years","TN"
"27 Years","MS"
"16 Years","VA"
"40 Years","NC"
"39 Years","KY"
"14 Years","TN"
"44 Years","NC"
"58 Years","OH"
"85 Years","PA"
"29 Years","KY"
"42 Years","NC"
"16 Years","NC"
"32 Years","TN"
"59 Years","NC"
"31 Years","PA"
"17 Years","TN"
"15 Years","VA"
"17 Years","TN"
"33 Years","AL"
"13 Years","PA"
"81 Years","NC"
"35 Years","NC"
"15 Years","KY"
"31 Years","MS"
"17 Years","TN"
"42 Years","SC"
"17 Years","TN"
"40 Years","WV"
"47 Years","NY"
"44 Years","SC"
"22 Years","PA"
"58 Years","TN"
"28 Years","MD"
"17 Years","NC"
"49 Years","KY"
"49 Years","TN"
"51 Years","NY"
"34 Years","SC"
"42 Years","KY"
"53 Years","TN"
"56 Years","VA"
"68 Years","WV"
"63 Years","PA"
"83 Years","NC"
"47 Years","SC"
"68 Years","AL"
"20 Years","NY"
"16 Years","NY"
"17 Years","VA"
"49 Years","TN"
"23 Years","OH"
"56 Years","NY"
"17 Years","VA"
"20 Years","PA"
"60 Years","GA"
"19 Years","OH"
"20 Years","NC"
"20 Years","VA"
"71 Years","MS"
"28 Years","AL"
"3 - 4 Years","AL"
"37 Years","AL"
"17 Years","TN"
"39 Years","NC"
"85 Years","TN"
"17 Years","TN"
"44 Years","NC"
"34 Years","OH"
"61 Years","NY"
"47 Years","NC"
"17 Years","NC"
"44 Years","VA"
"56 Years","VA"
"50 Years","PA"
"41 Years","PA"
"37 Years","OH"
"32 Years","KY"
"59 Years","TN"
"16 Years","TN"
"15 Years","TN"
"15 Years","KY"
"16 Years","TN"
"30 Years","NC"
"17 Years","VA"
"18 Years","MD"
"28 Years","NC"
"29 Years","VA"
"33 Years","NY"
"16 Years","PA"
"67 Years","MS"
"22 Years","TN"
"22 Years","TN"
"10 Years","PA"
"29 Years","NC"
"69 Years","NY"
"30 Years","OH"
"16 Years","NC"
"58 Years","SC"
"15 Years","NC"
"53 Years","NY"
"56 Years","NC"
"24 Years","TN"
"43 Years","MD"
"74 Years","TN"
"23 Years","PA"
"66 Years","OH"
"16 Years","TN"
"15 Years","TN"
"63 Years","SC"
"15 Years","OH"
"17 Years","NC"
"36 Years","PA"
"41 Years","GA"
"67 Years","NY"
"36 Years","NC"
"24 Years","GA"
"41 Years","SC"
"53 Years","VA"
"52 Years","AL"
"30 Years","AL"
"33 Years","OH"
"17 Years","TN"
"54 Years","AL"
"25 Years","NC"
"52 Years","GA"
"15 Years","TN"
"69 Years","NY"
"22 Years","NC"
"43 Years","GA"
"16 Years","NY"
"17 Years","NC"
"17 Years","NY"
"38 Years","GA"
"16 Years","NC"
"36 Years","GA"
"33 Years","SC"
"64 Years","TN"
"65 Years","NY"
"52 Years","TN"
"28 Years","KY"
"38 Years","SC"
"83 Years","GA"
"36 Years","GA"
"17 Years","NY"
"37 Years","GA"
"80 Years","TN"
"29 Years","NY"
"29 Years","SC"
"35 Years","GA"
"17 Years","TN"
"52 Years","TN"
"49 Years","OH"
"36 Years","AL"
"29 Years","NC"
"62 Years","NY"
"17 Years","NC"
"22 Years","TN"
"28 Years","NY"
"31 Years","NC"
"15 Years","VA"
"43 Years","TN"
"26 Years","TN"
"31 Years","GA"
"37 Years","AL"
"63 Years","AL"
"13 Years","TN"
"23 Years","AL"
"17 Years","TN"
"34 Years","KY"
"40 Years","WV"
"27 Years","OH"
"48 Years","KY"
"52 Years","NY"
"33 Years","MS"
"60 Years","TN"
"5 Years","TN"
"51 Years","GA"
"68 Years","VA"
"48 Years","NY"
"32 Years","TN"
"70 Years","NY"
"2 Years","NC"
"58 Years","NC"
"3 Years","NC"
"30 Years","MS"
"52 Years","PA"
"33 Years","AL"
"16 Years","KY"
"15 Years","TN"
"16 Years","KY"
"23 Years","NC"
"33 Years","NC"
"55 Years","GA"
"61 Years","MS"
"52 Years","TN"
"41 Years","TN"
"47 Years","AL"
"16 Years","SC"
"53 Years","SC"
"27 Years","OH"
"44 - 45 Years","TN"
"32 Years","TN"
"25 Years","TN"
"33 Years","KY"
"35 Years","MD"
"72 Years","PA"
"19 Years","NY"
"31 Years","NY"
"51 Years","WV"
"36 Years","NC"
"52 Years","TN"
"33 Years","NY"
"59 Years","KY"
"50 Years","OH"
"16 Years","MD"
"16 Years","NC"
"27 Years","NC"
"51 Years","TN"
"45 Years","TN"
"35 Years","NC"
"33 Years","AL"
"38 Years","KY"
"< 1 Year","TN"
"16 Years","TN"
"49 Years","GA"
"16 Years","TN"
"24 Years","WV"
"15 Years","TN"
"17 Years","TN"
"76 Years","VA"
"30 Years","MD"
"30 Years","TN"
"35 Years","GA"
"56 Years","KY"
"36 Years","TN"
"36 Years","NC"
"6 Years","OH"
